"","key","lat","lon","julian_day","keyUVP","latUVP","lonUVP","julian_dayUVP"
"1","SED_TRAP_3882",32.1,-124,14167,"UVP_303",32.29,-123.844,14165
"2","SED_TRAP_3882",32.1,-124,14167,"UVP_304",32.258,-123.873,14165
"3","SED_TRAP_3882",32.1,-124,14167,"UVP_305",32.21,-123.876,14166
"4","SED_TRAP_3882",32.1,-124,14167,"UVP_306",32.149,-123.945,14166
"5","SED_TRAP_4135",34,-121.7,14167,"UVP_307",33.95,-121.813,14167
"6","SED_TRAP_4135",34,-121.7,14167,"UVP_308",33.951,-121.811,14167
"7","SED_TRAP_4135",34,-121.7,14167,"UVP_309",33.966,-121.786,14167
"8","SED_TRAP_4135",34,-121.7,14167,"UVP_310",33.971,-121.777,14167
"9","SED_TRAP_4135",34,-121.7,14167,"UVP_311",34.018,-121.765,14168
"10","SED_TRAP_4135",34,-121.7,14167,"UVP_312",34.038,-121.739,14168
"11","SED_TRAP_4135",34,-121.7,14167,"UVP_313",34.062,-121.72,14169
"12","SED_TRAP_4135",34,-121.7,14167,"UVP_314",34.115,-121.676,14169
"13","SED_TRAP_4135",34,-121.7,14167,"UVP_315",34.136,-121.654,14169
"14","SED_TRAP_4135",34,-121.7,14167,"UVP_316",34.191,-121.641,14169
"15","SED_TRAP_3885",33.5,-121,14167,"UVP_318",33.611,-121.155,14171
"16","SED_TRAP_4072",33.6,-121.2,14167,"UVP_318",33.611,-121.155,14171
"17","SED_TRAP_3885",33.5,-121,14167,"UVP_319",33.616,-121.171,14171
"18","SED_TRAP_4072",33.6,-121.2,14167,"UVP_319",33.616,-121.171,14171
"19","SED_TRAP_3885",33.5,-121,14167,"UVP_320",33.624,-121.172,14171
"20","SED_TRAP_4072",33.6,-121.2,14167,"UVP_320",33.624,-121.172,14171
"21","SED_TRAP_3885",33.5,-121,14167,"UVP_321",33.641,-121.179,14172
"22","SED_TRAP_4072",33.6,-121.2,14167,"UVP_321",33.641,-121.179,14172
"23","SED_TRAP_3885",33.5,-121,14167,"UVP_322",33.609,-121.164,14172
"24","SED_TRAP_4072",33.6,-121.2,14167,"UVP_322",33.609,-121.164,14172
"25","SED_TRAP_3885",33.5,-121,14167,"UVP_323",33.61,-121.178,14172
"26","SED_TRAP_4072",33.6,-121.2,14167,"UVP_323",33.61,-121.178,14172
"27","THORIUM_161",-50.6,72.1,15268,"UVP_1177",-50.63,72.08,15266
"28","THORIUM_161",-50.6,72.1,15268,"UVP_1182",-50.63,72.08,15267
"29","THORIUM_162",-50.6,72.1,15295,"UVP_1279",-50.624,72.056,15293
"30","THORIUM_162",-50.6,72.1,15295,"UVP_1287",-50.624,72.056,15294
"31","THORIUM_162",-50.6,72.1,15295,"UVP_1288",-50.624,72.056,15295
"32","THORIUM_162",-50.6,72.1,15295,"UVP_1289",-50.642,72.063,15295
"33","THORIUM_162",-50.6,72.1,15295,"UVP_1280",-50.624,72.056,15294
"34","THORIUM_162",-50.6,72.1,15295,"UVP_1281",-50.624,72.056,15294
"35","THORIUM_162",-50.6,72.1,15295,"UVP_1282",-50.624,72.056,15294
"36","THORIUM_162",-50.6,72.1,15295,"UVP_1283",-50.624,72.055,15294
"37","THORIUM_162",-50.6,72.1,15295,"UVP_1284",-50.624,72.055,15294
"38","THORIUM_162",-50.6,72.1,15295,"UVP_1285",-50.624,72.055,15294
"39","THORIUM_162",-50.6,72.1,15295,"UVP_1286",-50.624,72.056,15294
"40","THORIUM_161",-50.6,72.1,15268,"UVP_1183",-50.645,72.031,15267
"41","THORIUM_186",-48.5,72.2,15278,"UVP_1211",-48.465,72.205,15275
"42","THORIUM_186",-48.5,72.2,15278,"UVP_1212",-48.493,72.236,15276
"43","THORIUM_186",-48.5,72.2,15278,"UVP_1220",-48.498,72.178,15277
"44","THORIUM_186",-48.5,72.2,15278,"UVP_1221",-48.498,72.177,15277
"45","THORIUM_186",-48.5,72.2,15278,"UVP_1222",-48.498,72.178,15277
"46","THORIUM_186",-48.5,72.2,15278,"UVP_1213",-48.511,72.253,15276
"47","THORIUM_186",-48.5,72.2,15278,"UVP_1214",-48.511,72.253,15276
"48","THORIUM_186",-48.5,72.2,15278,"UVP_1215",-48.458,72.187,15276
"49","THORIUM_186",-48.5,72.2,15278,"UVP_1216",-48.457,72.188,15276
"50","THORIUM_186",-48.5,72.2,15278,"UVP_1217",-48.498,72.178,15277
"51","THORIUM_186",-48.5,72.2,15278,"UVP_1218",-48.498,72.178,15277
"52","THORIUM_186",-48.5,72.2,15278,"UVP_1219",-48.498,72.178,15277
"53","THORIUM_186",-48.5,72.2,15278,"UVP_1229",-48.523,72.077,15279
"54","THORIUM_184",-48.7,72,15282,"UVP_1229",-48.523,72.077,15279
"55","THORIUM_184",-48.7,72,15282,"UVP_1234",-48.7,71.967,15281
"56","THORIUM_184",-48.7,72,15282,"UVP_1235",-48.702,71.967,15281
"57","THORIUM_184",-48.7,72,15282,"UVP_1236",-48.702,71.967,15281
"58","THORIUM_184",-48.7,72,15282,"UVP_1237",-48.704,71.971,15282
"59","THORIUM_184",-48.7,72,15282,"UVP_1238",-48.704,71.97,15282
"60","THORIUM_184",-48.7,72,15282,"UVP_1239",-48.704,71.97,15282
"61","THORIUM_184",-48.7,72,15282,"UVP_1240",-48.701,71.967,15282
"62","THORIUM_185",-48.7,72.6,15292,"UVP_1273",-48.714,72.571,15290
"63","THORIUM_185",-48.7,72.6,15292,"UVP_1274",-48.715,72.563,15291
"64","THORIUM_185",-48.7,72.6,15292,"UVP_1275",-48.715,72.563,15291
"65","THORIUM_185",-48.7,72.6,15292,"UVP_1276",-48.715,72.563,15291
"66","THORIUM_185",-48.7,72.6,15292,"UVP_1278",-48.715,72.563,15292
"67","THORIUM_185",-48.7,72.6,15292,"UVP_1277",-48.715,72.563,15292
"68","THORIUM_185",-48.7,72.6,15292,"UVP_1261",-48.678,72.531,15288
